lang,variant,n,acceptance_rate_pooled,mean_accept_length,spec_tok_s
polish,base,100,0.0911,1.2787,210.48
polish,own,100,0.0604,1.1851,203.28
polish,combined,100,0.0593,1.1822,192.56
korean,base,100,0.0788,1.2399,203.80
korean,own,100,0.0722,1.2203,197.86
korean,combined,100,0.0642,1.1968,197.00
italian,base,100,0.1387,1.4254,234.48
italian,own,100,0.1000,1.3078,212.53
italian,combined,100,0.0983,1.3025,213.97
japanese,base,100,0.0487,1.1477,190.07
japanese,own,100,0.0643,1.1941,200.67
japanese,combined,100,0.0649,1.1957,198.25
german,base,100,0.1221,1.3759,223.37
german,own,100,0.0831,1.2583,207.37
german,combined,100,0.0852,1.2650,208.35
