lang,variant,n,acceptance_rate_pooled,mean_accept_length,spec_tok_s
polish,base,100,0.0911,1.2787,209.34
polish,own,100,0.1014,1.3087,220.05
polish,combined,100,0.1030,1.3143,214.53
korean,base,100,0.0788,1.2399,204.88
korean,own,100,0.0883,1.2686,206.14
korean,combined,100,0.0894,1.2712,213.40
italian,base,100,0.1387,1.4254,218.29
italian,own,100,0.1473,1.4522,236.71
italian,combined,100,0.1522,1.4667,223.40
japanese,base,100,0.0487,1.1477,188.29
japanese,own,100,0.0693,1.2090,202.77
japanese,combined,100,0.0713,1.2153,205.60
german,base,100,0.1221,1.3759,225.17
german,own,100,0.1276,1.3921,229.81
german,combined,100,0.1302,1.3992,228.57
