domain,variant,n,acceptance_rate_pooled,mean_accept_length,pred_speedup
lang_chinese,base,100,0.0729,2.2155,1.5385
lang_chinese,own,100,0.0769,2.2749,1.5798
lang_chinese,comb_r16,100,0.0763,2.2689,1.5756
lang_chinese,comb_r64,100,0.0755,2.2447,1.5588
lang_chinese,mole,100,0.0771,2.2782,1.5821
lang_english,base,100,0.1207,3.1114,2.1607
lang_english,own,100,0.1217,3.2047,2.2255
lang_english,comb_r16,100,0.1204,3.1195,2.1663
lang_english,comb_r64,100,0.1178,3.1104,2.1600
lang_english,mole,100,0.1219,3.1565,2.1920
lang_french,base,100,0.1073,2.7925,1.9393
lang_french,own,100,0.1091,2.8115,1.9524
lang_french,comb_r16,100,0.1082,2.8032,1.9467
lang_french,comb_r64,100,0.1053,2.7225,1.8906
lang_french,mole,100,0.1093,2.7928,1.9394
lang_german,base,100,0.0744,2.2121,1.5362
lang_german,own,100,0.0783,2.2739,1.5791
lang_german,comb_r16,100,0.0769,2.2498,1.5624
lang_german,comb_r64,100,0.0750,2.2209,1.5423
lang_german,mole,100,0.0781,2.2733,1.5787
lang_japanese,base,36,0.0864,2.4123,1.6752
lang_japanese,comb_r16,36,0.0889,2.4547,1.7047
lang_japanese,comb_r64,36,0.0871,2.4099,1.6736
lang_japanese,mole,36,0.0893,2.4445,1.6976
lang_polish,base,70,0.0438,1.8231,1.2660
lang_polish,comb_r16,70,0.0518,1.9350,1.3438
lang_polish,comb_r64,70,0.0540,1.9420,1.3486
lang_polish,mole,70,0.0523,1.9508,1.3547
lang_russian,base,100,0.0749,2.2768,1.5811
lang_russian,own,100,0.0783,2.3311,1.6188
lang_russian,comb_r16,100,0.0780,2.3313,1.6190
lang_russian,comb_r64,100,0.0774,2.3147,1.6074
lang_russian,mole,100,0.0787,2.3562,1.6363
lang_spanish,base,100,0.1144,2.8999,2.0138
lang_spanish,own,100,0.1156,2.9158,2.0248
lang_spanish,comb_r16,100,0.1140,2.8964,2.0114
lang_spanish,comb_r64,100,0.1115,2.8446,1.9754
lang_spanish,mole,100,0.1157,2.9263,2.0321
code_javascript,base,48,0.1575,3.5707,2.4797
code_javascript,comb_r16,48,0.1598,3.5924,2.4947
code_javascript,comb_r64,48,0.1546,3.4903,2.4238
code_javascript,mole,48,0.1617,3.6228,2.5158
code_python,base,39,0.1704,3.8687,2.6866
code_python,comb_r16,39,0.1743,3.9235,2.7246
code_python,comb_r64,39,0.1669,3.7684,2.6169
code_python,mole,39,0.1737,3.9129,2.7173
ood_financial,base,40,0.1373,3.3481,2.3251
ood_financial,comb_r16,40,0.1367,3.3330,2.3146
ood_financial,comb_r64,40,0.1351,3.3071,2.2966
ood_financial,mole,40,0.1386,3.3681,2.3390
task_creative_writing,base,100,0.1006,2.6038,1.8082
task_creative_writing,own,100,0.1038,2.6711,1.8550
task_creative_writing,comb_r16,100,0.1026,2.6244,1.8225
task_creative_writing,comb_r64,100,0.1012,2.6037,1.8081
task_creative_writing,mole,100,0.1043,2.6647,1.8505
task_question_answering,base,100,0.1149,2.8718,1.9943
task_question_answering,own,100,0.1153,2.9932,2.0786
task_question_answering,comb_r16,100,0.1149,2.9569,2.0534
task_question_answering,comb_r64,100,0.1120,2.9232,2.0300
task_question_answering,mole,100,0.1166,2.9564,2.0531
task_roleplay_chat,base,100,0.1016,2.7587,1.9158
task_roleplay_chat,own,100,0.1040,2.8370,1.9701
task_roleplay_chat,comb_r16,100,0.1035,2.8241,1.9612
task_roleplay_chat,comb_r64,100,0.1013,2.8186,1.9574
task_roleplay_chat,mole,100,0.1042,2.8220,1.9597
task_summarization,base,100,0.1237,3.1130,2.1618
task_summarization,own,100,0.1232,3.1048,2.1561
task_summarization,comb_r16,100,0.1226,3.0865,2.1434
task_summarization,comb_r64,100,0.1185,2.9918,2.0777
task_summarization,mole,100,0.1250,3.1247,2.1699
task_translation,base,81,0.0886,2.7784,1.9294
task_translation,comb_r16,81,0.0879,2.6027,1.8074
task_translation,comb_r64,81,0.0878,2.5902,1.7987
task_translation,mole,81,0.0903,2.6894,1.8676
