domain,variant,n,acceptance_rate_pooled,mean_accept_length,speedup,exact_match_rate
code_python,base,100,0.2093,4.4837,3.1867,0.2700
code_python,own,100,0.2127,4.5580,3.0885,0.2700
code_python,combined,100,0.2136,4.5555,3.0925,0.2700
code_python,combined_equal,100,0.2109,4.5278,3.0247,0.2700
code_sql,base,100,0.1800,3.8994,2.7579,0.1900
code_sql,own,100,0.1872,4.0099,2.7092,0.1900
code_sql,combined,100,0.1799,3.9006,2.6147,0.1900
code_sql,combined_equal,100,0.1804,3.9059,2.6283,0.1900
ood_legal,base,100,0.1160,2.7808,2.0088,0.1500
ood_legal,own,100,0.1221,2.8642,1.9598,0.1500
ood_legal,combined,100,0.1161,2.7825,1.8956,0.1500
ood_legal,combined_equal,100,0.1171,2.8027,1.9010,0.1500
ood_medical,base,100,0.1321,3.0325,2.1846,0.1900
ood_medical,own,100,0.1372,3.1229,2.1509,0.1900
ood_medical,combined,100,0.1320,3.0323,2.0560,0.1900
ood_medical,combined_equal,100,0.1330,3.0470,2.0970,0.1900
ood_financial,base,100,0.1480,3.5889,2.5672,0.2500
ood_financial,own,100,0.1551,3.6885,2.4896,0.2500
ood_financial,combined,100,0.1481,3.5875,2.4021,0.2500
ood_financial,combined_equal,100,0.1519,3.6561,2.4534,0.2500
task_math_reasoning,base,100,0.3756,6.9810,4.9007,0.4100
task_math_reasoning,own,100,0.3940,7.2951,4.8749,0.4100
task_math_reasoning,combined,100,0.3771,6.9950,4.6142,0.4100
task_math_reasoning,combined_equal,100,0.3753,6.9767,4.6269,0.4100
task_summarization,base,100,0.0964,2.5405,1.7582,0.3600
task_summarization,own,100,0.0982,2.5981,1.7138,0.3600
task_summarization,combined,100,0.0965,2.5421,1.6879,0.3600
task_summarization,combined_equal,100,0.0962,2.5739,1.7010,0.3600
