lang,variant,n,acceptance_rate_pooled,mean_accept_length,speedup,exact_match_rate
polish,base,100,0.0313,1.4837,1.0780,0.0800
polish,own,100,0.0439,1.6815,1.1670,0.0800
polish,combined,100,0.0447,1.6930,1.1773,0.0800
korean,base,100,0.0353,1.5415,1.1223,0.1100
korean,own,100,0.0509,1.7772,1.2302,0.1100
korean,combined,100,0.0515,1.7876,1.2375,0.1100
italian,base,100,0.0808,2.2479,1.6331,0.1300
italian,own,100,0.0853,2.3206,1.6024,0.1300
italian,combined,100,0.0843,2.3107,1.5722,0.1300
japanese,base,100,0.0498,1.7570,1.2676,0.1300
japanese,own,100,0.0587,1.8929,1.3135,0.1300
japanese,combined,100,0.0588,1.8961,1.3147,0.1300
german,base,100,0.0679,2.0385,1.4812,0.1400
german,own,100,0.0716,2.0968,1.4507,0.1400
german,combined,100,0.0709,2.0870,1.4332,0.1400
